time,value
2022-08-17 03:32:45,46.0
2022-08-17 03:33:45,48.0
2022-08-17 03:34:45,43.0
2022-08-17 03:35:44,66.0
2022-08-17 03:36:45,44.0
2022-08-17 03:37:45,55.0
2022-08-17 03:38:45,58.0
2022-08-17 03:39:45,58.0
2022-08-17 03:40:44,45.0
2022-08-17 03:41:45,43.0
2022-08-17 03:42:45,39.0
2022-08-17 03:43:45,41.0
2022-08-17 03:44:45,55.0
2022-08-17 03:45:45,48.0
2022-08-17 03:46:45,50.0
2022-08-17 03:47:44,50.0
2022-08-17 03:48:45,53.0
2022-08-17 03:49:45,63.0
2022-08-17 03:50:45,55.0
2022-08-17 03:51:45,50.0
2022-08-17 03:52:45,51.0
2022-08-17 03:53:45,54.0
2022-08-17 03:54:44,61.0
2022-08-17 03:55:44,51.0
2022-08-17 03:56:44,58.0
2022-08-17 03:57:45,48.0
2022-08-17 03:58:44,61.0
2022-08-17 03:59:45,63.0
2022-08-17 04:00:45,60.0
2022-08-17 04:01:45,55.0
2022-08-17 04:02:45,52.0
2022-08-17 04:03:44,68.0
2022-08-17 04:04:45,61.0
2022-08-17 04:05:45,53.0
2022-08-17 04:06:45,60.0
2022-08-17 04:07:45,68.0
2022-08-17 04:08:45,55.0
2022-08-17 04:09:46,48.0
2022-08-17 04:10:45,61.0
2022-08-17 04:11:45,80.0
2022-08-17 04:12:45,57.0
2022-08-17 04:13:45,59.0
2022-08-17 04:14:45,54.0
2022-08-17 04:15:45,64.0
2022-08-17 04:16:44,62.0
2022-08-17 04:17:45,50.0
2022-08-17 04:18:45,63.0
2022-08-17 04:19:45,47.0
2022-08-17 04:20:44,55.0
2022-08-17 04:21:45,58.0
2022-08-17 04:22:45,43.0
2022-08-17 04:23:45,61.0
2022-08-17 04:24:45,49.0
2022-08-17 04:25:45,78.0
2022-08-17 04:26:44,43.0
2022-08-17 04:27:44,66.0
2022-08-17 04:28:45,49.0
2022-08-17 04:29:45,63.0
2022-08-17 04:30:45,61.0
2022-08-17 04:31:44,69.0
2022-08-17 04:32:44,69.0
2022-08-17 04:33:45,58.0
2022-08-17 04:34:44,58.0
2022-08-17 04:35:44,52.0
2022-08-17 04:36:45,51.0
2022-08-17 04:37:44,68.0
2022-08-17 04:38:44,64.0
2022-08-17 04:39:45,50.0
2022-08-17 04:40:45,49.0
2022-08-17 04:41:45,63.0
2022-08-17 04:42:45,50.0
2022-08-17 04:43:45,60.0
2022-08-17 04:44:44,58.0
2022-08-17 04:45:45,39.0
2022-08-17 04:46:45,46.0
2022-08-17 04:47:45,59.0
2022-08-17 04:48:44,52.0
2022-08-17 04:49:45,45.0
2022-08-17 04:50:44,67.0
2022-08-17 04:51:45,46.0
2022-08-17 04:52:45,61.0
2022-08-17 04:53:45,63.0
2022-08-17 04:54:45,59.0
2022-08-17 04:55:45,61.0
2022-08-17 04:56:45,54.0
2022-08-17 04:57:44,51.0
2022-08-17 04:58:44,51.0
2022-08-17 04:59:45,68.0
2022-08-17 05:00:45,64.0
